UNIQUE_CARRIER:14070:<string>,ORIGIN:14070:<string>,origin_passengers:14070:<double>
04Q,RKD,84
04Q,RME,12
04Q,RNO,2
04Q,ROA,6
04Q,ROC,60
04Q,RSD,25
04Q,RSW,26
04Q,RUT,21
04Q,SAV,34
04Q,SBA,6
04Q,SBH,18267
04Q,SBN,5
04Q,SBY,1
04Q,SC7,2
04Q,SCE,130
04Q,SCF,8
04Q,SCH,6
04Q,SDF,5
04Q,SDQ,1
04Q,SEF,2
04Q,SEG,1
04Q,SFB,28
04Q,SFM,3
04Q,SHD,13
04Q,SIG,106
04Q,SJC,2
04Q,SJU,19615
04Q,SLC,6
04Q,SLK,139
04Q,SLU,6
04Q,SML,6
04Q,SNA,11
04Q,SOP,22
04Q,SPG,32
04Q,SRQ,108
04Q,SSI,33
04Q,STL,2
04Q,STT,176
04Q,STX,19
04Q,SUA,123
04Q,SUN,8
04Q,SVH,1
04Q,SWF,76
04Q,SXM,92
04Q,SXY,3
04Q,SYR,78
04Q,TCB,70
04Q,TEB,4569
04Q,THV,4
04Q,TIX,8
04Q,TKF,5
04Q,TLH,29
04Q,TMB,70
04Q,TN9,2
04Q,TOL,6
04Q,TPA,171
04Q,TPF,20
04Q,TTN,44
04Q,TVI,7
04Q,TXX,7
04Q,TYS,2
04Q,TZN,4
04Q,UBF,110
04Q,UGN,1
04Q,USA,5
04Q,UST,36
04Q,UVF,4
04Q,UXO,4
04Q,VA4,2
04Q,VA5,5
04Q,VA8,23
04Q,VDI,7
04Q,VGC,15
04Q,VIJ,1132
04Q,VJI,15
04Q,VNC,28
04Q,VNY,17
04Q,VQS,11
04Q,VRB,33
04Q,VSF,2
04Q,VWK,117
04Q,WSH,6
04Q,WST,20
04Q,WTD,13
04Q,WVL,34
04Q,WWD,11
04Q,YCH,3
04Q,YCL,19
04Q,YCM,14
04Q,YGK,4
04Q,YHU,13
04Q,YHZ,1
04Q,YIP,2
04Q,YKF,3
04Q,YMX,5
04Q,YOW,14
04Q,YPS,22
04Q,YQA,4
04Q,YQB,6
04Q,YQY,3
04Q,YTZ,79
04Q,YUL,34
04Q,YVB,6
04Q,YXU,2
04Q,YYG,2
04Q,YYZ,35
04Q,YZV,4
04Q,ZBF,4
04Q,ZBM,2
04Q,ZSA,5
04Q,ZXU,41
07Q,BNA,7154
07Q,CTG,154
07Q,CUR,186
07Q,FLL,130279
07Q,IAH,158
07Q,JAX,136
07Q,JFK,29220
07Q,LAS,104547
07Q,LAX,47933
07Q,LGA,27
07Q,MCO,7516
07Q,PHX,17597
07Q,PSP,1751
07Q,SFB,30725
07Q,SFJ,168
07Q,SFO,33327
07Q,SLC,87
07Q,YEG,25305
07Q,YHU,46
07Q,YKF,19916
07Q,YOW,18757
07Q,YQB,88
07Q,YQG,1246
07Q,YSJ,2012
07Q,YUL,28448
07Q,YVR,99632
07Q,YWG,5185
07Q,YXU,3712
07Q,YYC,27082
07Q,YYJ,2485
07Q,YYZ,143920
09Q,ABE,119
09Q,ABI,58
09Q,ABQ,113
09Q,ACT,340
09Q,ADW,39
09Q,AEX,11409
09Q,AFW,57
09Q,AHN,253
09Q,ALB,0
09Q,ATL,0
09Q,AUS,644
09Q,AZA,51
09Q,AZO,42
09Q,BDL,282
09Q,BED,857
09Q,BFI,393
09Q,BHM,52
09Q,BIF,125
09Q,BLV,39
09Q,BMG,201
09Q,BNA,1094
09Q,BOG,243
09Q,BOI,114
09Q,BOS,385
09Q,BRO,132
09Q,BTR,1140
09Q,BUF,875
09Q,BWI,258
09Q,BZN,0
09Q,CAE,162
09Q,CEF,0
09Q,CHO,83
09Q,CHS,0
09Q,CID,276
09Q,CKB,409
09Q,CLL,457
09Q,CLT,0
09Q,CMH,890
09Q,CMI,599
09Q,COS,39
09Q,COU,48
09Q,CPS,153
09Q,CRP,0
09Q,CSG,74
09Q,CVG,240
09Q,DAB,0
09Q,DAL,638
09Q,DAY,552
09Q,DEN,639
09Q,DFW,51
09Q,DHN,0
09Q,DSM,96
09Q,DTW,432
09Q,ELP,7744
09Q,EUG,78
09Q,EWR,1572
09Q,FLL,300
09Q,FNL,121
09Q,FOE,141
09Q,FRG,472
09Q,FSD,99
09Q,FTW,105
09Q,FYV,48
09Q,GDL,67
09Q,GEG,221
09Q,GFK,49
09Q,GNV,90
09Q,GRK,0
09Q,GSO,3
09Q,GSP,111
09Q,GTR,159
09Q,GUA,994
09Q,GYE,108
09Q,HOU,200
09Q,HPN,89
09Q,HRL,5134
09Q,IAD,575
09Q,IAH,279
09Q,ICT,113
09Q,IND,539
09Q,INS,39
09Q,INT,48
09Q,KIN,103
09Q,LAN,278
09Q,LAS,405
09Q,LAX,547
09Q,LBB,415
09Q,LFI,50
09Q,LGB,105
09Q,LGU,0
09Q,LIM,97
09Q,LNK,119
09Q,LRD,2925
09Q,LUK,135
09Q,MCF,39
09Q,MCN,45
09Q,MCO,133
09Q,MDT,641
09Q,MDW,343
09Q,MEI,40
09Q,MEM,554
09Q,MFE,211
09Q,MGA,191
09Q,MHK,182
09Q,MIA,136
09Q,MID,91
09Q,MKC,336
09Q,MKE,110
09Q,MLB,0
09Q,MLM,149
09Q,MLU,71
09Q,MQT,0
09Q,MQY,0
09Q,MSN,123
09Q,MSP,564
09Q,MSY,132
09Q,NLU,100
09Q,NQX,50
09Q,NZY,39
09Q,OAK,95
09Q,OFF,88
09Q,OKC,234
09Q,OMA,223
09Q,ONT,2
09Q,ORD,568
09Q,ORF,91
09Q,PHL,723
09Q,PHX,869
09Q,PIA,89
09Q,PIE,52
09Q,PIT,1086
09Q,PTY,0
09Q,PVD,197
09Q,PVU,102
09Q,QRO,56
09Q,RDU,1203
09Q,RIC,357
09Q,RNO,2
09Q,ROA,190
09Q,ROC,49
09Q,SAL,185
09Q,SAN,1057
09Q,SAP,743
09Q,SAT,7564
09Q,SBN,54
09Q,SCE,309
09Q,SDF,315
09Q,SDQ,0
09Q,SFB,140
09Q,SHV,115
09Q,SJC,434
09Q,SJU,0
09Q,SKF,89
09Q,SLC,136
09Q,SLN,579
09Q,STL,664
09Q,SWO,117
09Q,SYR,90
09Q,TCL,257
09Q,TCM,0
09Q,TLH,147
09Q,TPA,229
09Q,TUL,127
09Q,TUP,109
09Q,TUS,7377
09Q,TYS,579
09Q,USA,34
09Q,XNA,545
09Q,YEG,110
09Q,YHU,190
09Q,YIP,153
09Q,YOW,411
09Q,YUM,985
09Q,YVR,331
09Q,YWG,242
09Q,YYC,49
09Q,YYZ,258
0BQ,FMM,1
0BQ,FRA,3
0BQ,HAM,2
0BQ,IAD,2
0BQ,SEA,3
0BQ,SFO,5
0BQ,SJC,6
0BQ,STR,5
0CQ,ACK,9
0CQ,ANC,8
0CQ,BED,8
0CQ,BFI,5
0CQ,BGR,2
0CQ,BOS,24
0CQ,BWI,1
0CQ,CBG,2
0CQ,CPH,3
0CQ,CXI,5
0CQ,DUB,2
0CQ,EWR,1
0CQ,FAB,1
0CQ,FKB,3
0CQ,FRA,21
0CQ,IAD,2
0CQ,JFK,3
0CQ,JNU,4
0CQ,LAS,4
0CQ,LUX,1
0CQ,MDW,4
0CQ,MIA,2
0CQ,MUC,3
0CQ,NWI,1
0CQ,OGG,0
0CQ,OPF,1
0CQ,SBY,0
0CQ,SCL,10
0CQ,SFO,0
0CQ,SJC,8
0CQ,TEB,5
0CQ,VNY,5
0CQ,YVR,2
0CQ,YYZ,1
0CQ,ZAG,3
0CQ,ZRH,3
0J,BGR,1
0J,BOG,3
0J,BTL,0
0J,FLL,3
0J,IAD,3
0J,KEF,7
0J,LTN,3
0J,MIA,5
0J,TEB,12
0J,YYR,8
0J,YYT,2
0J,YYZ,11
0J,ZRH,6
0Q,AGS,2
0Q,AMS,5
0Q,ANR,12
0Q,BDL,6
0Q,BGR,20
0Q,BQH,8
0Q,BRU,2
0Q,BWI,4
0Q,EAU,12
0Q,FAB,6
0Q,GSO,12
0Q,GSP,0
0Q,HOU,6
0Q,IAD,9
0Q,LAX,7
0Q,LBG,9
0Q,MDW,7
0Q,NCE,4
0Q,OPF,28
0Q,ORD,0
0Q,ORL,6
0Q,PBM,3
0Q,PDK,6
0Q,PHL,5
0Q,PSA,6
0Q,PSM,6
0Q,PWK,4
0Q,RBA,1
0Q,RDU,6
0Q,TEB,19
0Q,YQX,3
0QQ,CEG,3
0QQ,TEB,3
0UQ,BGR,3
0UQ,BKL,2
0UQ,BOS,2
0UQ,BRU,2
0UQ,EWR,29
0UQ,GVA,6
0UQ,HPN,2
0UQ,HSH,5
0UQ,IAD,2
0UQ,IAH,0
0UQ,ICN,1
0UQ,IND,0
0UQ,LAX,19
0UQ,LBG,0
0UQ,LTN,4
0UQ,OAK,5
0UQ,OPO,0
0UQ,PRG,3
0UQ,PTK,5
0UQ,SAV,12
0UQ,SKB,18
0UQ,SNN,1
0UQ,TEB,4
0UQ,TLS,6
10Q,BGR,2
10Q,FLG,2
10Q,KEF,8
10Q,LAS,2
10Q,MCO,3
10Q,MEM,2
10Q,MIA,1
10Q,OPF,3
10Q,RFD,1
10Q,RST,6
10Q,SAT,2
12Q,ATL,1
12Q,BOS,3
12Q,GVA,1
12Q,IAD,2
12Q,LBG,5
12Q,NCE,4
12Q,TEB,1
12Q,VIE,2
13Q,ACK,19
13Q,ACY,18
13Q,ALB,19
13Q,APA,19
13Q,APC,14
13Q,APF,192
13Q,ART,6
13Q,ASE,3
13Q,ATL,7
13Q,ATW,2
13Q,AUS,3
13Q,AVL,3
13Q,AVP,6
13Q,BCT,89
13Q,BDA,28
13Q,BDL,7
13Q,BED,44
13Q,BFI,35
13Q,BFM,3
13Q,BGR,6
13Q,BLM,5
13Q,BMG,2
13Q,BMI,4
13Q,BNA,24
13Q,BOI,8
13Q,BOS,77
13Q,BRS,4
13Q,BTR,3
13Q,BTV,14
13Q,BUF,44
13Q,BVX,5
13Q,BWI,2
13Q,CAE,9
13Q,CHS,8
13Q,CLE,55
13Q,CLT,21
13Q,CMH,15
13Q,COS,20
13Q,CRP,9
13Q,CSL,9
13Q,CUN,4
13Q,CVG,23
13Q,DAL,32
13Q,DEN,10
13Q,DET,13
13Q,DFW,22
13Q,DLH,3
13Q,DTW,12
13Q,EGE,4
13Q,ELH,2
13Q,ERI,14
13Q,ESN,2
13Q,EWB,0
13Q,EWR,5
13Q,FAR,13
13Q,FLL,83
13Q,FOK,28
13Q,FRG,1
13Q,FWA,5
13Q,FXE,166
13Q,GCM,14
13Q,GEG,2
13Q,GRB,1
13Q,GRR,6
13Q,GSO,6
13Q,GSP,9
13Q,GYY,5
13Q,HOU,34
13Q,HPN,47
13Q,HSH,7
13Q,HVN,3
13Q,HYA,6
13Q,HYR,4
13Q,IAD,56
13Q,ICT,0
13Q,ILG,11
13Q,IND,17
13Q,INT,13
13Q,ISP,5
13Q,JAC,18
13Q,JAX,4
13Q,JFK,49
13Q,KOA,8
13Q,LAS,93
13Q,LAX,78
13Q,LCK,1
13Q,LEX,14
13Q,LGB,8
13Q,LNK,3
13Q,MAF,2
13Q,MBJ,0
13Q,MCO,72
13Q,MDT,2
13Q,MDW,24
13Q,MEM,12
13Q,MHH,6
13Q,MIA,53
13Q,MKC,15
13Q,MLB,10
13Q,MLI,2
13Q,MSO,2
13Q,MSP,15
13Q,MSY,9
13Q,MTH,2
13Q,MVY,1
13Q,MYR,1
13Q,NAS,43
13Q,NY3,3
13Q,OMA,30
13Q,OPF,253
13Q,ORD,0
13Q,ORL,38
13Q,OXC,9
13Q,PAE,17
13Q,PBI,190
13Q,PDK,9
13Q,PDX,0
13Q,PHL,12
13Q,PHX,7
13Q,PIE,0
13Q,PIT,17
13Q,PLS,16
13Q,PNX,4
13Q,PSM,14
13Q,PSP,81
13Q,PTK,11
13Q,PVD,28
13Q,PVR,11
13Q,PWK,5
13Q,QRO,2
13Q,RDG,4
13Q,RDU,25
13Q,RIC,21
13Q,RKS,3
13Q,ROC,5
13Q,ROG,7
13Q,RST,7
13Q,RSW,22
13Q,SAA,9
13Q,SAF,8
13Q,SAV,4
13Q,SBA,6
13Q,SBM,4
13Q,SBN,14
13Q,SCE,3
13Q,SCF,24
13Q,SDF,6
13Q,SFO,6
13Q,SJD,6
13Q,SJU,2
13Q,SLC,36
13Q,SLU,20
13Q,SOP,8
13Q,SRQ,14
13Q,SUA,4
13Q,SUN,2
13Q,SWF,1
13Q,SXM,11
13Q,TEB,639
13Q,TLC,1
13Q,TMB,5
13Q,TPA,33
13Q,TRI,0
13Q,TRM,8
13Q,TTN,17
13Q,TVC,1
13Q,TYS,20
13Q,UST,1
13Q,VNY,13
13Q,VRB,12
13Q,XBR,9
13Q,YAM,31
13Q,YBL,3
13Q,YCD,8
13Q,YCM,15
13Q,YEG,9
13Q,YGK,1
13Q,YHU,8
13Q,YHZ,3
13Q,YIP,5
13Q,YKF,152
13Q,YLW,22
13Q,YMM,12
13Q,YMX,1
13Q,YNG,1
13Q,YOO,1
13Q,YOW,74
13Q,YPS,8
13Q,YQA,8
13Q,YQB,14
13Q,YQG,7
13Q,YQM,2
13Q,YQY,5
13Q,YUL,46
13Q,YVC,8
13Q,YVR,40
13Q,YXU,6
13Q,YYC,142
13Q,YYJ,1
13Q,YYT,5
13Q,YYZ,2244
15Q,AGP,4
15Q,AMS,12
15Q,ANC,2
15Q,APA,4
15Q,APF,2
15Q,ARN,12
15Q,AXA,33
15Q,BDL,0
15Q,BED,36
15Q,BER,3
15Q,BGI,5
15Q,BGR,14
15Q,BHX,2
15Q,BKL,1
15Q,BLK,4
15Q,BLL,5
15Q,BLQ,2
15Q,BMA,14
15Q,BOS,3
15Q,BQH,3
15Q,BRN,4
15Q,BUD,6
15Q,CLE,0
15Q,CPH,5
15Q,CVG,0
15Q,DAL,1
15Q,DBV,6
15Q,DEN,1
15Q,DSM,2
15Q,DTW,3
15Q,EGE,2
15Q,EIS,0
15Q,ELH,4
15Q,EWR,10
15Q,EYW,2
15Q,FAB,9
15Q,FLL,5
15Q,FMO,5
15Q,FOK,5
15Q,GOT,5
15Q,GRQ,1
15Q,GRU,2
15Q,GVA,9
15Q,HAN,2
15Q,HEL,1
15Q,HND,2
15Q,HOU,10
15Q,HPN,16
15Q,IAD,3
15Q,IST,2
15Q,ITH,1
15Q,JFK,17
15Q,LAS,21
15Q,LAX,17
15Q,LBC,10
15Q,LGA,8
15Q,LIN,1
15Q,LPL,1
15Q,LTN,26
15Q,MAD,6
15Q,MAN,1
15Q,MDW,2
15Q,MEM,0
15Q,MIA,2
15Q,MMX,1
15Q,MNL,1
15Q,MSY,4
15Q,NAS,6
15Q,NCE,15
15Q,NUQ,3
15Q,ODE,9
15Q,OLB,1
15Q,OPF,5
15Q,ORD,14
15Q,OSD,6
15Q,OSL,2
15Q,PBI,9
15Q,PDK,2
15Q,PDX,7
15Q,PGA,14
15Q,PHL,2
15Q,PHX,8
15Q,PIT,3
15Q,PMI,4
15Q,PWK,7
15Q,RKE,4
15Q,ROA,8
15Q,ROG,4
15Q,RST,1
15Q,SAV,3
15Q,SCL,2
15Q,SFO,14
15Q,SGD,2
15Q,SGR,1
15Q,SGU,5
15Q,SJC,8
15Q,SLC,2
15Q,SLK,2
15Q,SMV,2
15Q,SNN,7
15Q,SSI,3
15Q,STN,3
15Q,STT,8
15Q,SWF,7
15Q,SYD,2
15Q,TEB,76
15Q,TLC,1
15Q,TRN,1
15Q,VCE,1
15Q,VNY,4
15Q,YHZ,6
15Q,YQX,7
15Q,YUL,5
15Q,YYZ,5
15Q,ZRH,21
17Q,GVA,8
17Q,IAD,6
17Q,PSA,6
17Q,SXM,10
17Q,TEB,6
1BQ,ACT,153
1BQ,AEX,0
1BQ,ANC,209
1BQ,BDL,45
1BQ,BED,0
1BQ,BHM,0
1BQ,BIF,245
1BQ,BOS,176
1BQ,BWI,133
1BQ,CAE,0
1BQ,CHS,99
1BQ,CID,67
1BQ,CLT,131
1BQ,CMH,700
1BQ,CVG,202
1BQ,DFW,352
1BQ,DSM,147
1BQ,ELP,885
1BQ,EUG,0
1BQ,EWR,135
1BQ,FAI,541
1BQ,FCO,348
1BQ,GEG,192
1BQ,GRK,0
1BQ,GSO,0
1BQ,GUA,36
1BQ,GYR,0
1BQ,HOU,0
1BQ,HRL,335
1BQ,IAD,86
1BQ,IND,130
1BQ,JFK,1877
1BQ,LAN,0
1BQ,LGB,551
1BQ,LIR,226
1BQ,LRD,404
1BQ,MCC,0
1BQ,MCI,0
1BQ,MCO,353
1BQ,MEM,124
1BQ,MGM,106
1BQ,MHT,0
1BQ,MIA,0
1BQ,N1C,0
1BQ,NBW,0
1BQ,NGU,0
1BQ,OAK,118
1BQ,OMA,76
1BQ,ONT,487
1BQ,PHL,0
1BQ,PHX,125
1BQ,PIT,90
1BQ,PSM,723
1BQ,RIC,164
1BQ,RIV,704
1BQ,RMS,333
1BQ,RNO,0
1BQ,SAN,890
1BQ,SAP,40
1BQ,SAT,0
1BQ,SJU,499
1BQ,SLC,342
1BQ,SLN,0
1BQ,SNN,218
1BQ,SYR,450
1BQ,TLH,0
1BQ,TLV,1483
1BQ,TUL,0
1BQ,TUS,179
1BQ,VOK,219
1BQ,YEG,83
1BQ,YHZ,205
1BQ,YIP,0
1BQ,YOD,0
1BQ,YQM,136
1BQ,YYT,0
1BQ,YYZ,112
1EQ,BFI,49
1EQ,BNA,46
1EQ,BUF,47
1EQ,CMH,47
1EQ,CPS,48
1EQ,CSL,324
1EQ,DAL,46
1EQ,DEN,49
1EQ,GEG,29
1EQ,GRB,68
1EQ,HOU,511
1EQ,KOA,4688
1EQ,LAS,103
1EQ,LAX,350
1EQ,MCI,67
1EQ,MCO,561
1EQ,MDW,93
1EQ,MSL,54
1EQ,MSP,475
1EQ,OAK,5114
1EQ,OGG,62
1EQ,ORD,70
1EQ,OTH,68
1EQ,PHL,47
1EQ,PHX,61
1EQ,PIT,46
1EQ,SAN,403
1EQ,SBA,210
1EQ,SJC,883
1EQ,TLC,42
1EQ,YOW,47
1EQ,YYC,94
1EQ,YYZ,68
1HQ,ADJ,5
1HQ,APF,5
1HQ,ARN,4
1HQ,AUS,1
1HQ,BGR,2
1HQ,BOH,2
1HQ,BOS,1
1HQ,BQK,0
1HQ,BUD,15
1HQ,BZN,11
1HQ,DAL,5
1HQ,DBV,1
1HQ,DUB,7
1HQ,EDI,8
1HQ,FAT,0
1HQ,FLL,0
1HQ,FRA,3
1HQ,FXE,1
1HQ,GUF,2
1HQ,GVA,2
1HQ,IAD,7
1HQ,IST,1
1HQ,JAC,0
1HQ,LAS,5
1HQ,LAX,3
1HQ,LBG,3
1HQ,LYH,8
1HQ,MAO,5
1HQ,MCO,0
1HQ,MDW,7
1HQ,MKC,3
1HQ,NAS,2
1HQ,NCE,4
1HQ,NUE,5
1HQ,OPF,10
1HQ,OPO,4
1HQ,OSL,11
1HQ,PBI,4
1HQ,PHX,6
1HQ,PIE,0
1HQ,PRG,12
1HQ,PSA,4
1HQ,SCL,9
1HQ,STR,2
1HQ,TEB,31
1HQ,TTN,0
1HQ,ZRH,3
1QQ,STT,4442
1QQ,STX,4729
1UQ,BGR,118
1UQ,BOS,14
1UQ,BRU,5
1UQ,BWI,17
1UQ,CLE,3
1UQ,CVG,4
1UQ,EBL,7
1UQ,IAD,19
1UQ,IAH,2
1UQ,KEF,13
1UQ,LAX,6
1UQ,MOB,4
1UQ,MSP,10
1UQ,ORD,14
1UQ,PHL,11
1UQ,PSM,5
1UQ,RST,7
1UQ,SJC,1
1UQ,SNN,7
1UQ,STN,60
1UQ,TEB,7
1XQ,BOS,8
1XQ,BWI,1
1XQ,FLL,0
1XQ,GOA,12
1XQ,IAD,7
1XQ,KRK,3
1XQ,LBG,18
1XQ,OPO,1
1XQ,PBI,2
1XQ,RAK,18
1XQ,TEB,37
1XQ,WAW,1
1XQ,YUL,8
1YQ,CPX,2017
1YQ,EIS,0
1YQ,JRV,1240
1YQ,SIG,1261
1YQ,SJU,0
1YQ,STT,5
1YQ,STX,0
1YQ,SXM,0
1YQ,VQS,3
1ZQ,BCN,126
1ZQ,BSB,0
1ZQ,BWI,0
1ZQ,DFW,67
1ZQ,EZE,0
1ZQ,HEL,69
1ZQ,IAG,86
1ZQ,PRG,109
24Q,ANU,2
24Q,APA,0
24Q,ATL,2
24Q,BGR,2
24Q,BOS,3
24Q,BZN,4
24Q,DUB,5
24Q,FAB,10
24Q,FRG,2
24Q,GSO,2
24Q,HOU,2
24Q,IAD,5
24Q,INL,2
24Q,IST,1
24Q,KEF,10
24Q,LAX,0
24Q,LBG,1
24Q,LGG,2
24Q,MXP,3
24Q,NCE,6
24Q,OLB,2
24Q,OPF,10
24Q,ORD,5
24Q,PBI,3
24Q,PDL,4
24Q,PLS,8
24Q,RDU,0
24Q,SFO,0
24Q,SJC,2
24Q,SNN,11
24Q,SXM,7
24Q,TEB,21
24Q,VNY,16
24Q,WAW,7
25Q,BOS,0
25Q,EWR,4
25Q,FOK,2
25Q,FXE,5
25Q,HPN,0
25Q,IAD,7
25Q,LAS,5
25Q,LBG,1
25Q,NAS,5
25Q,NCE,4
25Q,OPF,4
25Q,ORH,1
25Q,SNN,1
25Q,TEB,13
25Q,ZRH,14
26Q,BUD,6
26Q,CIA,2
26Q,CLT,1
26Q,DIJ,2
26Q,FAB,1
26Q,FAR,3
26Q,GIB,3
26Q,GVA,8
